MMSI,Speed (knots),COG (degrees),Destination,Ship type,Gross tonnage,Length (m),Breadth (m)
236039000,10.1,74.9,Hamina,Cargo,2280,82.6,12.3
440363000,9.9,74.6,Hamina,Cargo,8521,136,32
235009040,8.4,65.8,Hamina,Cargo,3978,1000,16.5
246591000,9.2,74.6,Hamina,Cargo,8620,137.1,19.1
305929000,9.6,73.2,Hamina,Cargo,1905,87.9,11.4
636017466,8.6,67.5,Hamina,Cargo,1985,82.5,12.5
212209000,10.1,64.3,Hamina,Cargo,3416,94.9,15.3
236029000,10.1,73.4,Kotka,Cargo,2301,82.5,12.4
246169000,9.6,73.3,Kotka,Cargo,2548,89,12.5
244850900,10.8,73.5,Kotka,Cargo,6540,134.5,16.5
210434000,7.9,66.8,Kotka,Cargo,1999,82.4,12.5
245301000,11.5,65.2,Kotka,Cargo,2622,88.3,12.9
245241000,11.2,74.5,Kotka,Cargo,2862,94.7,13.4
210974000,10.3,74.5,Kronshtadt,Cargo,2984,90,15.4
235010600,10.8,79.8,Kunda,Cargo,5257,117,16.9
244130641,7.5,77.4,Kunda,Cargo,2528,90,12.5
325974000,8.7,73.9,Muuga,Cargo,5796,122,18.7
305198000,9.8,63.2,Muuga,Cargo,1987,81.2,12.4
309175000,7.8,74,Muuga,Cargo,1513,82.3,11.3
244790509,7.7,74.5,Muuga,Cargo,3603,101.2,14.4
305049000,10.1,82.2,Muuga,Cargo,12192,141.4,22.5
230601000,12.3,130.5,Paldiski,Cargo,3259,101.8,18.8
376593000,9.6,82.4,Paldiski,Cargo,2516,113.9,13.2
230663000,7.4,89.3,Paldiski,Cargo,3405,103,13.6
247386800,8.5,79.8,Paldiski,Cargo,24133,191.4,26.2
218801000,7.6,83.2,Paldiski,Cargo,1587,82.2,11.3
231844000,10.3,115.2,Paldiski,Cargo,2876,88.9,13.2
230987660,8.6,65.1,Porvoo,Cargo,852,64.2,10.5
235103736,8.9,79.5,Tallinn,Cargo,2840,89.7,13.6
244557000,11,77.1,Tallinn,Cargo,2281,89,11.8
304010054,7.8,79.1,Tallinn,Cargo,1472,79,10.9
211718360,8,75.1,Tallinn,Cargo,2224,88,12.5
511658000,8.4,90.1,Tallinn,Cargo,4115,100.6,16.2
230649000,7.6,113.8,Tallinn,Cargo,2561,88,12.5
375067000,8.5,75,Valko Loviisa,Cargo,1307,74.9,10.5
304050000,10,63.1,Valko Loviisa,Cargo,2771,89.8,13.6
210319000,9,73.7,Valko Loviisa,Cargo,1616,82.5,11.5
245739000,8.9,75.2,Valko Loviisa,Cargo,1978,80,12.2
375156000,8.8,76.4,Valko Loviisa,Cargo,1587,88,11.9
212360000,11.2,67.4,Valko Loviisa,Cargo,3239,96,13.6
212552000,9.8,69.8,Viipuri,Cargo,4446,111,14.5
245137000,10,66.3,Viipuri,Cargo,2396,82.5,12.5
304010297,9.7,75.1,Viipuri,Cargo,2416,84.9,12.8
305274000,8.9,89.9,Viipuri,Cargo,4842,115,16
246499000,9,71.3,Viipuri,Cargo,2409,82.5,12.5
304833000,9.5,64.8,Viipuri,Cargo,2069,80.1,12.4
636015204,10.9,72.7,Vuosaari,Cargo,17368,168.1,25.8
636092319,7.4,73.1,Vuosaari,Cargo,10585,151.7,23.4
246650000,8.1,74.5,Vuosaari,Cargo,28599,268.1,27
538090268,7.5,75.7,Vuosaari,Cargo,17360,178.6,27.7
259319000,8.4,74.9,Hamina,Tanker,6045,123.6,19.5
259896000,10.3,76.9,Hamina,Tanker,9056,140.2,22.2
247697000,10.5,75.2,Hamina,Tanker,4896,118.6,16.4
219082000,9.9,74.7,Hamina,Tanker,9980,141.2,21.9
219083000,11.6038,74.8,Hamina,Tanker,9980,141.2,21.6
212436000,13.5256,77.0755,Hamina,Tanker,6280,116.9,18
219426000,11.9203,56.3253,Hamina,Tanker,3219,99.9,15
229998000,11.7433,70.9708,Hamina,Tanker,4364,122,16
259721000,12.3,69.7069,Kronshtadt,Tanker,8829,134.7,20.8
249207000,11,74.4,Muuga,Tanker,11935,144.1,23
477043500,11.9996,77.4823,Muuga,Tanker,61990,247,44
212464000,13.4702,84.6996,Muuga,Tanker,6556,116.9,18
256827000,9.8,86.4867,Muuga,Tanker,7833,150.2,17.3
257033170,5.5,98.8,Paldiski,Tanker,27427,182.5,32.2
636016683,10.9,75.4,Porvoo,Tanker,5440,108,16.8
247661000,4.5,72.5,Porvoo,Tanker,5006,120.8,16.4
236500000,12.3,75.1,Porvoo,Tanker,11935,144.1,23.2
244092000,14.6805,79.2,Porvoo,Tanker,7833,117.8,18.6
247661000,11.6998,76.4,Porvoo,Tanker,7071,120.8,16.4
259768000,11.8492,80.343,Porvoo,Tanker,11935,144.1,23.2
538002774,11.5935,67.3823,Porvoo,Tanker,30641,195,32.2
538002778,11.3631,74.6552,Porvoo,Tanker,30641,195,32.24
219178000,11.7699,73.3348,Porvoo,Tanker,7636,129.8,19.9
230965000,10.7442,70.1734,Porvoo,Tanker,15980,169.5,23.8
245229000,12.3187,64.1119,Porvoo,Tanker,1825,79.4,13.8
255714000,13.2697,60.3354,Porvoo,Tanker,3785,100,17
255735000,13.5657,72.2205,Porvoo,Tanker,3790,99.9,16.5
256656000,11.6,59.2594,Porvoo,Tanker,3235,94.9,14.5
636016752,11.7,74.6,Porvoo,Tanker,3853,92.9,15.3
566579000,6.8,76.5,Primorsk,Tanker,24120,184,28
538004934,9.9,74,Primorsk,Tanker,62647,250,44
235060255,11.7311,80.9,Primorsk,Tanker,23353,184,27.7
636015565,12.4056,81.3492,Primorsk,Tanker,66855,249.9,46
636014353,12,74.1,Primorsk,Tanker,62504,250,44
215058000,8.9,87.9,Tallinn,Tanker,4606,129.3,16.5
230212000,9.6,125,Tallinn,Tanker,326,46.9,8.1
636092755,11.2,73.7,Vysotsk,Tanker,23240,183,27.4
273385070,9.4,74.5,Vysotsk,Tanker,4979,139.9,16.9
273374820,10,74.6,Vysotsk,Tanker,4979,139.9,16.7
273388150,9.7668,68.7159,Vysotsk,Tanker,5075,140.9,16.9
249997000,9.2103,89.6131,Ust-Luga,Tanker,60751,255.9,44
538003321,12.7359,79.5269,Ust-Luga,Tanker,62775,250,44
215555000,13.8026,73.9815,Ust-Luga,Tanker,29327,183,32.2
249856000,12.1048,69.8444,Ust-Luga,Tanker,61000,249.9,43.8
370756000,12.8,82.5,Ust-Luga,Tanker,28777,180,32.2
538002775,12.7,94.3,Ust-Luga,Tanker,30641,195.2,32.2
538090534,10.7,82.5,Ust-Luga,Tanker,61320,250,43.8
636012813,11.4,77,Ust-Luga,Tanker,65293,250,44.1
276832000,9.8,109.6,Muuga,Tug,286,33.3,9.2
230182000,9.9,130.6,Paldiski,Tug,298,31,10.5
230984090,8.2,129.4,Paldiski,Tug,107,23.8,7
218809000,7.2,76.5,Tallinn,Tug,324,32.6,10.1
230941170,9.1,109.9,Tallinn,Tug,139,26.8,7.5
230961000,7.2,73.7,Tallinn,Tug,256,32.9,9
220124000,8.6,79.3,Tallinn,Tug,366,33.2,9.8
230025450,7.9,81.9,Valko Loviisa,Tug,196,28.4,8.5
230044260,8.7,85.4,Helsinki,Tug,100,15,5
